key,0
#,Text
int32,str
0,""
1,"確定要進行布置嗎？
布置之後會變成舊品，無法再到市場上出售。

<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow>另外，根據房屋、家具的種類，
在下列情況下，可能會喪失對其的權利。
．被其他玩家撤除
．從部隊除名或退出部隊
．解除房屋共享
．土地被回收<UIGlow>01</UIGlow><UIForeground>01</UIForeground>"
2,"確定要進行布置嗎？
該物品一經布置便無法再次回收。

<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow>另外，根據房屋、家具的種類，
在下列情況下，可能會喪失對其的權利。
．被其他玩家撤除
．從部隊除名或退出部隊
．解除房屋共享
．土地被回收<UIGlow>01</UIGlow><UIForeground>01</UIForeground>"
3,"確定要進行布置嗎？
該物品無法在市場上出售或交易。

<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow>另外，根據房屋、家具的種類，
在下列情況下，可能會喪失對其的權利。
．被其他玩家撤除
．從部隊除名或退出部隊
．解除房屋共享
．土地被回收<UIGlow>01</UIGlow><UIForeground>01</UIForeground>

※此為收費道具，在布置時請留意以上幾點。"
4,"確定要進行布置嗎？
該物品一經布置便無法再次回收。
<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow>另外，根據房屋的種類，
在下列情況下，可能會喪失對其的權利。
．被其他玩家撤除
．從部隊除名或退出部隊
．解除房屋共享<UIGlow>01</UIGlow><UIForeground>01</UIForeground>"
5,"確定要進行布置嗎？
該物品無法在市場上出售或交易。

<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow>另外，根據房屋、家具的種類，
在下列情況下，可能會喪失對其的權利。
．被其他玩家撤除
．從部隊除名或退出部隊
．解除房屋共享
．土地被回收<UIGlow>01</UIGlow><UIForeground>01</UIForeground>"
6,"確定要進行布置嗎？
該物品無法在市場上出售。
<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow>另外，根據房屋、家具的種類，
在下列情況下，可能會喪失對其的權利。
．被其他玩家撤除
．從部隊除名或退出部隊
．解除房屋共享
．土地被回收<UIGlow>01</UIGlow><UIForeground>01</UIForeground>"
7,"確定要進行布置嗎？
該物品無法在市場上出售或交易，且一經使用便無法再次回收。

<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow>另外，根據房屋、家具的種類，
在下列情況下，可能會喪失對其的權利。
．被其他玩家撤除
．從部隊除名或退出部隊
．解除房屋共享
．土地被回收<UIGlow>01</UIGlow><UIForeground>01</UIForeground>

※此為收費道具，在布置時請留意以上幾點。"
8,"確定要進行布置嗎？
該物品無法在市場上出售或交易，且一經使用便無法再次回收。

<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow>另外，根據房屋、家具的種類，
在下列情況下，可能會喪失對其的權利。
．被其他玩家撤除
．從部隊除名或退出部隊
．解除房屋共享
．土地被回收<UIGlow>01</UIGlow><UIForeground>01</UIForeground>"
9,"確定要進行布置嗎？
該物品一旦經過設定，便無法在市場上出售，且一經使用便無法再次回收。

<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow>另外，根據房屋、家具的種類，
在下列情況下，可能會喪失對其的權利。
．被其他玩家撤除
．從部隊除名或退出部隊
．解除房屋共享
．土地被回收<UIGlow>01</UIGlow><UIForeground>01</UIForeground>"
