key,0,1
#,,
int32,str,str
0,"TEXT_CTSOPN60NEMJIJI_00732_CFC_TO_INSTANCE_CONTENT","<Sheet(ContentFinderCondition,IntegerParameter(1),3)/>"
1,"TEXT_CTSOPN60NEMJIJI_00732_NEMJIJI_000_000"," <Highlight>ObjectParameter(1)</Highlight> ！感謝你願意協助我們調查。
你報告中的那些過去的創造生物……
呵呵呵……我已經等不及想要開始推測它們的生態了！"
2,"TEXT_CTSOPN60NEMJIJI_00732_NEMJIJI_000_005","我想厄爾庇斯一定也有保管資料的設施，
你先去那邊調查一下，再去萬魔殿吧。"
3,"TEXT_CTSOPN60NEMJIJI_00732_NEMJIJI_000_010","你終於回來了！我真是等得望眼欲穿啊！"
4,"TEXT_CTSOPN60NEMJIJI_00732_NEMJIJI_000_015","真不愧是富爾什諾大人……冷靜迅速地下達了指示。"
5,"TEXT_CTSOPN60NEMJIJI_00732_NEMJIJI_000_020","我們遵從富爾什諾大人的指示，
在這裡整理目前為止的調查結果。
我對這一類的工作得心應手，放心交給我吧。"
6,"TEXT_CTSOPN60NEMJIJI_00732_NEMJIJI_000_030","星海研究の資料や論文を見直しております。
役立ちそうな情報があれば、すぐお伝えいたしますね……。"
7,"TEXT_CTSOPN60NEMJIJI_00732_NEMJIJI_000_035","クローディエン先生が救出されたことに、
ひとまず安堵しております。
これも、貴方がたのおかげですね……。"
8,"TEXT_CTSOPN60NEMJIJI_00732_NEMJIJI_000_040","落ち着いたところで、事件の記録を取りまとめませんと。
今回は、自分自身で目撃した事柄も多いですからね。
妄想……あ、いえ、推論にも力が入りそうです。"
9,"TEXT_CTSOPN60NEMJIJI_00732_NEMJIJI_000_050","今回の事件は、様々な要素が複雑に絡み合っていました。
それらを紐解くだけで、時間がいくらあっても足りません！
先生に、助手の増員をお願いしたいくらいです。"
10,"TEXT_CTSOPN60NEMJIJI_00732_Q1_000_000","要做什麼？"
11,"TEXT_CTSOPN60NEMJIJI_00732_A1_000_003","確認調查情況"
12,"TEXT_CTSOPN60NEMJIJI_00732_A1_000_004","取消"
13,"TEXT_CTSOPN60NEMJIJI_00732_NEMJIJI_000_100"," <Split(<Highlight>ObjectParameter(1)</Highlight>, ,1)/> ，稍微耽誤你一點時間可以嗎？
我想請你再詳細說說發生在過去世界的事。"
