key,0,1
#,,
int32,str,str
0,"TEXT_FESXMS003_00249_SEQ_00","※本任務是特定期間內的任務。

高腳孤丘的星芒節執行委員，希望冒險者幫忙舉辦星芒節。"
1,"TEXT_FESXMS003_00249_SEQ_01","※本任務只有在季節活動開放期間才能接受和進行。
　季節活動結束後無法進行，敬請注意。
　詳情請參見官方網站。

和星芒節執行委員進行了交談，幫忙舉辦星芒節。首先裝備上<Sheet(Item,9273,0)/>，在雄心廣場附近，或從高腳孤丘各個房屋庭院中的星芒樹下回收<Sheet(EventItem,2001524,0)/>。"
2,"TEXT_FESXMS003_00249_SEQ_02","回收了<Sheet(EventItem,2001524,0)/>。將<Sheet(EventItem,2001524,0)/>交給雄心廣場的星芒節執行委員。"
3,"TEXT_FESXMS003_00249_SEQ_03","將<Sheet(EventItem,2001524,0)/>交給了星芒節執行委員。接下來，將<Sheet(EventItem,2001525,0)/>送給雄心廣場的享受節日的少年少女們。"
4,"TEXT_FESXMS003_00249_SEQ_04","將<Sheet(EventItem,2001525,0)/>交給了孩子們。向雄心廣場的星芒節執行委員報告。"
5,"TEXT_FESXMS003_00249_SEQ_05","向星芒節執行委員報告完畢。在星芒節的活動期間中，孩子們會不斷將寫好的卡片放在星芒樹下。為了孩子們的笑容，有機會再去幫忙舉辦星芒節。"
6,"TEXT_FESXMS003_00249_SEQ_06",""
7,"TEXT_FESXMS003_00249_SEQ_07",""
8,"TEXT_FESXMS003_00249_SEQ_08",""
9,"TEXT_FESXMS003_00249_SEQ_09",""
10,"TEXT_FESXMS003_00249_SEQ_10",""
11,"TEXT_FESXMS003_00249_SEQ_11",""
12,"TEXT_FESXMS003_00249_SEQ_12",""
13,"TEXT_FESXMS003_00249_SEQ_13",""
14,"TEXT_FESXMS003_00249_SEQ_14",""
15,"TEXT_FESXMS003_00249_SEQ_15",""
16,"TEXT_FESXMS003_00249_SEQ_16",""
17,"TEXT_FESXMS003_00249_SEQ_17",""
18,"TEXT_FESXMS003_00249_SEQ_18",""
19,"TEXT_FESXMS003_00249_SEQ_19",""
20,"TEXT_FESXMS003_00249_SEQ_20",""
21,"TEXT_FESXMS003_00249_SEQ_21",""
22,"TEXT_FESXMS003_00249_SEQ_22",""
23,"TEXT_FESXMS003_00249_SEQ_23",""
