key,0,1
#,,
int32,str,str
0,"TEXT_HEAVNZ635_01903_SEQ_00","雲頂營地的法布雷耶好像在思考著什麼。"
1,"TEXT_HEAVNZ635_01903_SEQ_01","法布雷耶委託冒險者前去取回<Sheet(EventItem,2001658,0)/>。前往阿巴拉提亞雲海的牧牛臺，調查<Sheet(EObj,2005779,0)/>獲得<Sheet(EventItem,2001658,0)/>。"
2,"TEXT_HEAVNZ635_01903_SEQ_02","獲得了<Sheet(EventItem,2001658,0)/>。將<Sheet(EventItem,2001658,0)/>交給雲頂營地的法布雷耶。"
3,"TEXT_HEAVNZ635_01903_SEQ_03","將<Sheet(EventItem,2001658,0)/>交給了法布雷耶。他說自己不準備吃掉這顆蛋，而是要培育它孵化，生出更多的蛋。"
4,"TEXT_HEAVNZ635_01903_SEQ_04",""
5,"TEXT_HEAVNZ635_01903_SEQ_05",""
6,"TEXT_HEAVNZ635_01903_SEQ_06",""
7,"TEXT_HEAVNZ635_01903_SEQ_07",""
8,"TEXT_HEAVNZ635_01903_SEQ_08",""
9,"TEXT_HEAVNZ635_01903_SEQ_09",""
10,"TEXT_HEAVNZ635_01903_SEQ_10",""
11,"TEXT_HEAVNZ635_01903_SEQ_11",""
12,"TEXT_HEAVNZ635_01903_SEQ_12",""
13,"TEXT_HEAVNZ635_01903_SEQ_13",""
14,"TEXT_HEAVNZ635_01903_SEQ_14",""
15,"TEXT_HEAVNZ635_01903_SEQ_15",""
16,"TEXT_HEAVNZ635_01903_SEQ_16",""
17,"TEXT_HEAVNZ635_01903_SEQ_17",""
18,"TEXT_HEAVNZ635_01903_SEQ_18",""
19,"TEXT_HEAVNZ635_01903_SEQ_19",""
20,"TEXT_HEAVNZ635_01903_SEQ_20",""
21,"TEXT_HEAVNZ635_01903_SEQ_21",""
22,"TEXT_HEAVNZ635_01903_SEQ_22",""
23,"TEXT_HEAVNZ635_01903_SEQ_23",""
24,"TEXT_HEAVNZ635_01903_TODO_00","在<Sheet(EObj,2005779,0)/>獲得<Sheet(EventItem,2001658,0)/>"
25,"TEXT_HEAVNZ635_01903_TODO_01","將<Sheet(EventItem,2001658,0)/>交給法布雷耶"
26,"TEXT_HEAVNZ635_01903_TODO_02",""
27,"TEXT_HEAVNZ635_01903_TODO_03",""
28,"TEXT_HEAVNZ635_01903_TODO_04",""
29,"TEXT_HEAVNZ635_01903_TODO_05",""
30,"TEXT_HEAVNZ635_01903_TODO_06",""
31,"TEXT_HEAVNZ635_01903_TODO_07",""
32,"TEXT_HEAVNZ635_01903_TODO_08",""
33,"TEXT_HEAVNZ635_01903_TODO_09",""
34,"TEXT_HEAVNZ635_01903_TODO_10",""
35,"TEXT_HEAVNZ635_01903_TODO_11",""
36,"TEXT_HEAVNZ635_01903_TODO_12",""
37,"TEXT_HEAVNZ635_01903_TODO_13",""
38,"TEXT_HEAVNZ635_01903_TODO_14",""
39,"TEXT_HEAVNZ635_01903_TODO_15",""
40,"TEXT_HEAVNZ635_01903_TODO_16",""
41,"TEXT_HEAVNZ635_01903_TODO_17",""
42,"TEXT_HEAVNZ635_01903_TODO_18",""
43,"TEXT_HEAVNZ635_01903_TODO_19",""
44,"TEXT_HEAVNZ635_01903_TODO_20",""
45,"TEXT_HEAVNZ635_01903_TODO_21",""
46,"TEXT_HEAVNZ635_01903_TODO_22",""
47,"TEXT_HEAVNZ635_01903_TODO_23",""
48,"TEXT_HEAVNZ635_01903_FABRELLET_000_000","我想到了個好主意……
我在牧牛臺發現了冠恐鳥窩。"
49,"TEXT_HEAVNZ635_01903_FABRELLET_000_001","如果能拿到鳥窩中的蛋就賺了！
能麻煩你去調查一下鳥窩，
然後取回一個<Sheet(EventItem,2001658,0)/>嗎？"
50,"TEXT_HEAVNZ635_01903_FABRELLET_000_010","如果能拿到鳥窩中的蛋就賺了！
能麻煩你去調查一下鳥窩，
然後取回一個<Sheet(EventItem,2001658,0)/>嗎？"
51,"TEXT_HEAVNZ635_01903_SYSTEM_000_015","沒有找到<Sheet(EventItem,2001658,0)/>……"
52,"TEXT_HEAVNZ635_01903_FABRELLET_000_020","如果能拿到鳥窩中的蛋就賺了！
能麻煩你去調查一下鳥窩，
然後取回一個<Sheet(EventItem,2001658,0)/>嗎？"
53,"TEXT_HEAVNZ635_01903_FABRELLET_000_021","喔！還是熱乎的！
真是太感謝了！"
54,"TEXT_HEAVNZ635_01903_FABRELLET_000_022","什麼？不、我沒打算吃掉它啊！
我準備把它養大。
你想想，這樣我不就可以每天都吃到蛋了嗎？"
