key,0,1
#,,
int32,str,str
0,"TEXT_FESANV2023GUIDE_00828_NEWBORNINTERN_000_000","過去に感謝し、今を祝福し、未来を祈る……。
神聖なる心持ちで、新生祭を過ごしましょう……！
夜空には美しい花火があがりますよ。"
1,"TEXT_FESANV2023GUIDE_00828_Q1_000_001","想瞭解什麼？"
2,"TEXT_FESANV2023GUIDE_00828_A1_000_001","什麼是新生季？"
3,"TEXT_FESANV2023GUIDE_00828_A1_000_002","レターツリーとは"
4,"TEXT_FESANV2023GUIDE_00828_A1_000_003","取消"
5,"TEXT_FESANV2023GUIDE_00828_NEWBORNINTERN_000_010","所謂新生季，主旨為悼念在第七靈災中喪生的人們，
並向在靈災中奮勇作戰的英雄「光之戰士們」表達感謝。"
6,"TEXT_FESANV2023GUIDE_00828_NEWBORNINTERN_000_011","節日期間，大街上會放滿水晶點綴的莊嚴的裝飾物，
夜晚還會燃放美麗的煙火。"
7,"TEXT_FESANV2023GUIDE_00828_NEWBORNINTERN_000_012","沉浸在這夢幻般的氣氛中，
懷念過去，享受現在，為未來的幸福祈禱吧。"
8,"TEXT_FESANV2023GUIDE_00828_NEWBORNINTERN_000_013","催しは「ウルダハ」で行っております。
ご参加いただけるようでしたら、ぜひいらしてください。"
9,"TEXT_FESANV2023GUIDE_00828_NEWBORNINTERN_000_014","第七霊災を生き延びた誰かから別の誰かへの想い……
感謝や激励、労いといった声を匿名の手紙という形式で募り、
誰もが見られるように展示させていただく、特別な企画です。"
10,"TEXT_FESANV2023GUIDE_00828_NEWBORNINTERN_000_015","レターツリーの展示場所は、ザル回廊のゴールドコート。
ご興味がございましたら、ぜひ現地にて、
「レターツリーの管理人」にお声がけくださいませ。"
