key,0,1
#,,
int32,str,str
0,"TEXT_BANKOB209_01343_SEQ_00","第789洞穴團採礦地的第789團工匠博古，有件事無法釋懷。"
1,"TEXT_BANKOB209_01343_SEQ_01","第13團指導者佐加的手下們日夜在煉金工房勤奮工作，第789團工匠博古對此很看不慣。他想讓那些研究員覺得煉金工房裡很危險，隨時都會被人類襲擊，以此來妨礙他們工作。與第13洞穴團煉金工房的<Sheet(BNpcName,2703,0)/>和<Sheet(BNpcName,2704,0)/>對話，待他們注意到冒險者之後，將其打倒。"
2,"TEXT_BANKOB209_01343_SEQ_02","打倒了<Sheet(BNpcName,2703,0)/>和<Sheet(BNpcName,2704,0)/>。向第789洞穴團採礦地的第789團工匠博古報告。"
3,"TEXT_BANKOB209_01343_SEQ_03","成功討伐了正在進行調整工作的第13團指導者佐加的手下。向第789團工匠博古報告完畢。他十分熱衷於藉助冒險者的力量向仇敵報仇，找仇敵麻煩。只好繼續幫助他，直到他厭倦為止……"
4,"TEXT_BANKOB209_01343_SEQ_04",""
5,"TEXT_BANKOB209_01343_SEQ_05",""
6,"TEXT_BANKOB209_01343_SEQ_06",""
7,"TEXT_BANKOB209_01343_SEQ_07",""
8,"TEXT_BANKOB209_01343_SEQ_08",""
9,"TEXT_BANKOB209_01343_SEQ_09",""
10,"TEXT_BANKOB209_01343_SEQ_10",""
11,"TEXT_BANKOB209_01343_SEQ_11",""
12,"TEXT_BANKOB209_01343_SEQ_12",""
13,"TEXT_BANKOB209_01343_SEQ_13",""
14,"TEXT_BANKOB209_01343_SEQ_14",""
15,"TEXT_BANKOB209_01343_SEQ_15",""
16,"TEXT_BANKOB209_01343_SEQ_16",""
17,"TEXT_BANKOB209_01343_SEQ_17",""
18,"TEXT_BANKOB209_01343_SEQ_18",""
19,"TEXT_BANKOB209_01343_SEQ_19",""
20,"TEXT_BANKOB209_01343_SEQ_20",""
21,"TEXT_BANKOB209_01343_SEQ_21",""
22,"TEXT_BANKOB209_01343_SEQ_22",""
23,"TEXT_BANKOB209_01343_SEQ_23",""
24,"TEXT_BANKOB209_01343_TODO_00","和第13洞穴團煉金工房的<Sheet(BNpcName,2703,0)/>及<Sheet(BNpcName,2704,0)/>對話
隨後將其討伐"
25,"TEXT_BANKOB209_01343_TODO_01","向第789團工匠博古報告"
