key,0,1
#,,
int32,str,str
0,"TEXT_COMDEFFREECOMPANYREWARD_00100_TALK_ACTOR_001","隸屬於<Switch(IntegerParameter(1))><Case(1)>黑渦團</Case><Case(2)>雙蛇黨</Case><Case(3)>恆輝隊</Case></Switch>的部隊可以在這裡用部隊戰績
兌換特殊的強化魔法和各種有用的物品。"
1,"TEXT_COMDEFFREECOMPANYREWARD_00100_TALK_ACTOR_Q","你有什麼事？"
2,"TEXT_COMDEFFREECOMPANYREWARD_00100_TALK_ACTOR_A1","使用部隊戰績進行交換（部隊特效）"
3,"TEXT_COMDEFFREECOMPANYREWARD_00100_TALK_ACTOR_FCC_SHOP","使用部隊戰績進行交換（道具）"
4,"TEXT_COMDEFFREECOMPANYREWARD_00100_TALK_ACTOR_A2","聽取關於部隊戰績的說明"
5,"TEXT_COMDEFFREECOMPANYREWARD_00100_TALK_ACTOR_A3","取消"
6,"TEXT_COMDEFFREECOMPANYREWARD_00100_TALK_ACTOR_010","「部隊戰績」是部隊成員可以使用的類似於貨幣的東西。"
7,"TEXT_COMDEFFREECOMPANYREWARD_00100_TALK_ACTOR_011","當你作為所屬部隊的一員進行活動時，
每天就能獲得一定的部隊戰績。"
8,"TEXT_COMDEFFREECOMPANYREWARD_00100_TALK_ACTOR_012","你可以在部隊所屬的那支大國防聯軍的總部裡，
用蓄積下的部隊戰績交換部隊特效或道具。"
9,"TEXT_COMDEFFREECOMPANYREWARD_00100_TALK_ACTOR_013","不過要交換部隊特效的話，
一定要先提升部隊等級，取得「部隊特效」許可權。"
10,"TEXT_COMDEFFREECOMPANYREWARD_00100_TALK_ACTOR_014","將「使用部隊戰績」的許可權賦予部隊成員所在階級後，
該階級的成員就可以交換部隊特效了。"
11,"TEXT_COMDEFFREECOMPANYREWARD_00100_TALK_ACTOR_ERR1","啊，看起來你並沒有加入部隊呢。
加入部隊的話能夠享受到多項福利。
請你也去尋找適合自己的部隊吧。"
12,"TEXT_COMDEFFREECOMPANYREWARD_00100_TALK_ACTOR_ERR2","（★未使用／削除予定★）"
13,"TEXT_COMDEFFREECOMPANYREWARD_00100_TALK_ACTOR_ERR3","十分抱歉，如果是想交換部隊戰績的話，
請去找你們部隊所屬的大國防聯軍的補給負責人吧。"
