key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_AKTKML101_04744_SEQ_00,在雲使宮前的瓦爾桑似乎有話要對冒險者說。(翻譯:螢詩月@巴哈姆特)
1,TEXT_AKTKML101_04744_SEQ_01,至今為止的冒險記錄：<hex:02100103>為了救出阿珠達雅，冒險者一行人目標指向虛無界的月亮。他們重新啟動了巴別塔，從地面傳送大量的乙太，成功在原初世界的月亮上開啟虛無門。他們與弗栗多一起穿越門戶，抵達虛無界的月亮，終於與被囚禁的阿珠達雅面對面。然而，一切的元凶高貝扎的出現，使事態開始朝著意想不到的方向滾動。經過戰鬥，他們取得了勝利，但受傷的高貝扎將阿珠達雅獻給了大妖異「澤羅姆斯」。面對仍在微睡中的澤羅姆斯強大的黑暗力量，他們無計可施，只能被迫撤退回原初世界。他們決定一定要回去救阿珠達雅……冒險者們帶著這個決心度過了隱忍的時光。<hex:02100103>　　　　　　　　　　　　*　*　*<hex:02100103>他們與瓦爾桑等人確認了情況，並從雅修特拉那裡接過了希德他們開發的「乙太傳送器」。為了一起前往第一世界，零將靈魂轉移到了吸魂晶中。去找在雲使宮前等待的「瓦爾桑」談話吧。
2,TEXT_AKTKML101_04744_SEQ_02,接過了轉移了零的靈魂的吸魂晶。去找在水晶都的博物陳列館裡的「拜克·拉各」談話吧。
3,TEXT_AKTKML101_04744_SEQ_03,將吸魂晶交給了拜克·拉各，並請他實體化零。去找在水晶都的作物園藝館裡的「琳」談話吧。
4,TEXT_AKTKML101_04744_SEQ_04,與琳談話後，與實體化的零會合。去找在水晶都的露天席大廣場裡的「零」談話吧。
5,TEXT_AKTKML101_04744_SEQ_05,看到第一世界的天空的零，重新下定了決心。讓我們推進將光的力量集中到水晶塔的計劃吧。
6,TEXT_AKTKML101_04744_SEQ_06,
7,TEXT_AKTKML101_04744_SEQ_07,
8,TEXT_AKTKML101_04744_SEQ_08,
9,TEXT_AKTKML101_04744_SEQ_09,
10,TEXT_AKTKML101_04744_SEQ_10,
11,TEXT_AKTKML101_04744_SEQ_11,
12,TEXT_AKTKML101_04744_SEQ_12,
13,TEXT_AKTKML101_04744_SEQ_13,
14,TEXT_AKTKML101_04744_SEQ_14,
15,TEXT_AKTKML101_04744_SEQ_15,
16,TEXT_AKTKML101_04744_SEQ_16,
17,TEXT_AKTKML101_04744_SEQ_17,
18,TEXT_AKTKML101_04744_SEQ_18,
19,TEXT_AKTKML101_04744_SEQ_19,
20,TEXT_AKTKML101_04744_SEQ_20,
21,TEXT_AKTKML101_04744_SEQ_21,
22,TEXT_AKTKML101_04744_SEQ_22,
23,TEXT_AKTKML101_04744_SEQ_23,
24,TEXT_AKTKML101_04744_TODO_00,與瓦爾桑對話
25,TEXT_AKTKML101_04744_TODO_01,與博物陳列館的拜克·拉各對話
26,TEXT_AKTKML101_04744_TODO_02,與琳對話
27,TEXT_AKTKML101_04744_TODO_03,與零對話
28,TEXT_AKTKML101_04744_TODO_04,
29,TEXT_AKTKML101_04744_TODO_05,
30,TEXT_AKTKML101_04744_TODO_06,
31,TEXT_AKTKML101_04744_TODO_07,
32,TEXT_AKTKML101_04744_TODO_08,
33,TEXT_AKTKML101_04744_TODO_09,
34,TEXT_AKTKML101_04744_TODO_10,
35,TEXT_AKTKML101_04744_TODO_11,
36,TEXT_AKTKML101_04744_TODO_12,
37,TEXT_AKTKML101_04744_TODO_13,
38,TEXT_AKTKML101_04744_TODO_14,
39,TEXT_AKTKML101_04744_TODO_15,
40,TEXT_AKTKML101_04744_TODO_16,
41,TEXT_AKTKML101_04744_TODO_17,
42,TEXT_AKTKML101_04744_TODO_18,
43,TEXT_AKTKML101_04744_TODO_19,
44,TEXT_AKTKML101_04744_TODO_20,
45,TEXT_AKTKML101_04744_TODO_21,
46,TEXT_AKTKML101_04744_TODO_22,
47,TEXT_AKTKML101_04744_TODO_23,
48,TEXT_AKTKML101_04744_VARSHAHN_000_001,啊，<hex:022C0DFF07><hex:022903EB0203><hex:FF02> <hex:0203>。<hex:02100103>我正想召喚你呢。
49,TEXT_AKTKML101_04744_VARSHAHN_000_002,關於月亮的虛無之門，<hex:02100103>有些事情需要與大家分享。
50,TEXT_AKTKML101_04744_VARSHAHN_000_003,此外，雅修特拉也傳來消息，<hex:02100103>她將返回這裡。
51,TEXT_AKTKML101_04744_VARSHAHN_000_004,為了對抗澤羅姆斯的黑暗，<hex:02100103>將第一世界的光送到第十三世界……<hex:02100103>我們可能找到了一些線索。
52,TEXT_AKTKML101_04744_VARSHAHN_000_005,我們應該集合一次，分享情報。<hex:02100103>我希望你也能來總督的房間。
53,TEXT_AKTKML101_04744_YSHTOLA_000_006,對不起，我來晚了。
54,TEXT_AKTKML101_04744_VRITRA_000_007,不，你來得正好。
55,TEXT_AKTKML101_04744_VRITRA_000_008,……看你的樣子，我猜你有好消息？
56,TEXT_AKTKML101_04744_YSHTOLA_000_009,是的，我不眠不休地繼續研究，<hex:02100103>終於有了成果。
57,TEXT_AKTKML101_04744_YSHTOLA_000_011,在那裡就好。<hex:02100103>你幫我運來真是太好了。
58,TEXT_AKTKML101_04744_VRITRA_000_010,感謝你的努力……。<hex:02100103>我很想立刻聽到你的成果，<hex:02100103>但首先，我必須報告一件壞事。
59,TEXT_AKTKML101_04744_VRITRA_000_012,這是來自于里昂熱的消息。<hex:02100103>他說在嘆息海開啟的虛無之門的情況不妙。
60,TEXT_AKTKML101_04744_VRITRA_000_013,對我們來說，那個門是唯一通往高貝扎基地的道路……。
61,TEXT_AKTKML101_04744_VRITRA_000_014,我們不能隨便關閉它，所以我們讓門保持開啟，<hex:02100103>並用「劍」的封印機制來封住它。
62,TEXT_AKTKML101_04744_VRITRA_000_015,那個蓋子正在受到虛無界的干擾，幾乎被破壞。<hex:02100103>雖然兔兔族們正在竭力對抗，<hex:02100103>但他們可能很快就會達到極限……。
63,TEXT_AKTKML101_04744_VRITRA_000_016,這意味著高貝扎的野心，<hex:02100103>即將成為現實。
64,TEXT_AKTKML101_04744_VRITRA_000_017,
65,TEXT_AKTKML101_04744_YSHTOLA_000_018,大妖異澤羅姆斯吸收了阿珠達雅數千年來渴望返回原初世界的想法，<hex:02100103>他的力量……<hex:02100103>確實不是一般的強大。
66,TEXT_AKTKML101_04744_VRITRA_000_019,因此，我們希望能盡快消滅澤羅姆斯，<hex:02100103>但他被濃厚的黑暗保護，我們甚至無法接近他。
67,TEXT_AKTKML101_04744_MYSTERIOUSPERSON_000_020,你回來了，我可以認為你找到了接近澤羅姆斯的方法嗎？<hex:02100103>你之前說過，要消除濃厚的黑暗，只需要照亮強大的光……。
68,TEXT_AKTKML101_04744_YSHTOLA_000_021,總的來說，我們似乎可以做到我們想象的事情。
69,TEXT_AKTKML101_04744_YSHTOLA_000_022,
70,TEXT_AKTKML101_04744_YSHTOLA_000_023,
